,Product Name,Prices,Description,Link
20,"Apple iPhone 16 Pro (White Titanium, 1 TB)","₹1,62,900","1 TB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-white-titanium-1-tb/p/itmb68208e35881b?pid=MOBH4JCVQGFUX3YG&lid=LSTMOBH4JCVQGFUX3YGMM4HDE&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4JCVQGFUX3YG.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
21,"Apple iPhone 16 Pro Max (Natural Titanium, 512 GB)","₹1,57,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-max-natural-titanium-512-gb/p/itmd7440318746d1?pid=MOBH4DQF5HCJGPVD&lid=LSTMOBH4DQF5HCJGPVDY21R2Z&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQF5HCJGPVD.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
22,"Apple iPhone 13 Pro Max (Silver, 1 TB)","₹1,79,900",1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,https://www.flipkart.com/apple-iphone-13-pro-max-silver-1-tb/p/itm5e2d156bf43d9?pid=MOBG6VF5H3YC3GNC&lid=LSTMOBG6VF5H3YC3GNCBSET86&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBG6VF5H3YC3GNC.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
23,MTR FOLD Z,"₹1,450",32 MB RAM | 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera2000 mAh Battery6 MONTHS WARRENTY,https://www.flipkart.com/mtr-fold-z/p/itm1c4d94d480486?pid=MOBGXCE6YVKHRTQJ&lid=LSTMOBGXCE6YVKHRTQJ0EN5YM&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGXCE6YVKHRTQJ.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
24,"Apple iPhone 16 (Teal, 128 GB)","₹74,900","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-teal-128-gb/p/itmce4bb3f55cc2f?pid=MOBH4DQFSY9ETDUU&lid=LSTMOBH4DQFSY9ETDUUX0E7YU&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_49&otracker=search&otracker1=search&fm=organic&iid=1fac7d01-ad62-4ccf-b26f-7e707dffa8e6.MOBH4DQFSY9ETDUU.SEARCH&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
25,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹80,549",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/p/itm12ef5ea0212ed?pid=MOBGX2F3RQKKKTAW&lid=LSTMOBGX2F3RQKKKTAWECSQVA&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_50&otracker=search&otracker1=search&fm=organic&iid=1fac7d01-ad62-4ccf-b26f-7e707dffa8e6.MOBGX2F3RQKKKTAW.SEARCH&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
26,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,https://www.flipkart.com/cmf-nothing-phone-2-pro-light-green-128-gb/p/itm46a119f176627?pid=MOBHAUHADASAEX2G&lid=LSTMOBHAUHADASAEX2GYKJS5R&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_51&otracker=search&otracker1=search&fm=organic&iid=en_4mOQMaqTv8AhmKJZuCIhYkt9SKXORS2siCE4tW0ErWIT46TA1Isp6yY1SFkbDSQL9TPUnrf94HFwJl2mDs7BrfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
27,"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,https://www.flipkart.com/cmf-nothing-phone-2-pro-orange-128-gb/p/itm46a119f176627?pid=MOBHAUHAHD3TRJ7X&lid=LSTMOBHAUHAHD3TRJ7XRKZ0X4&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_52&otracker=search&otracker1=search&fm=organic&iid=en_4mOQMaqTv8AhmKJZuCIhYkt9SKXORS2siCE4tW0ErWLqwe9JVaCgGNVA7xk3Pv-Be6Oau7IR-2G7_7GnDNalw_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
28,"Apple iPhone 16e (Black, 256 GB)","₹64,900","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP Rear Camera | 12MP Front CameraA18 Chip, 6 Core Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16e-black-256-gb/p/itm24bcdb43505bd?pid=MOBH9JVHVW84WHJB&lid=LSTMOBH9JVHVW84WHJBWAP270&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_53&otracker=search&otracker1=search&fm=organic&iid=1fac7d01-ad62-4ccf-b26f-7e707dffa8e6.MOBH9JVHVW84WHJB.SEARCH&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
29,"Apple iPhone 16 Plus (Teal, 256 GB)","₹94,900","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-plus-teal-256-gb/p/itmc838d56fd8d50?pid=MOBH4DQFASMZ3YKT&lid=LSTMOBH4DQFASMZ3YKT62NU5X&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_3_54&otracker=search&otracker1=search&fm=organic&iid=1fac7d01-ad62-4ccf-b26f-7e707dffa8e6.MOBH4DQFASMZ3YKT.SEARCH&ppt=None&ppn=None&ssid=d3a4jj986o0000001753444723401&qH=1db27dacccf6b51f
